Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Giveaways
Locklear,619247415,108450,50103,5512,824676,469017,17854413,TRUE,FALSE,French,TRUE
餐餐自由配 (blusewilly_retry),618755280,100515,17585,5941,374480,42764,18366224,TRUE,FALSE,Chinese,TRUE
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,TRUE,FALSE,English,TRUE
UberHaxorNova,615472275,181950,7808,3247,421256,65267,7518457,TRUE,FALSE,English,TRUE
Sfory,612617325,73590,75219,3197,457502,450299,12391816,TRUE,FALSE,Russian,TRUE
Giantwaffle,612594165,165525,36340,3429,878934,15334,10831070,TRUE,FALSE,English,TRUE
ZanoXVII,610609920,95730,30648,6073,514866,322929,6034891,TRUE,FALSE,Italian,TRUE
침착맨 (zilioner),601906185,97545,43164,5843,465887,121506,18265409,TRUE,FALSE,Korean,TRUE
SkipNhOLIVE,600910875,498765,7940,1196,324765,271487,6544645,TRUE,FALSE,Portuguese,TRUE
Kamet0,600882645,130620,70983,4560,565661,221911,14071951,TRUE,FALSE,French,TRUE
MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,TRUE,FALSE,Spanish,TRUE
김진우 (jinu6734),597275955,121545,12810,4710,274875,90213,9977487,TRUE,FALSE,Korean,TRUE
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,TRUE,FALSE,English,TRUE
x2Twins,595707975,125745,31874,4167,1288969,1035561,15264996,TRUE,FALSE,English,TRUE
C_a_k_e,588662010,129660,17317,4403,302633,45957,18161823,TRUE,FALSE,Russian,TRUE
SmiteGame,586925850,344055,33245,1588,535211,73678,8305604,TRUE,FALSE,English,TRUE
RatedEpicz,582401145,175920,11860,3336,134757,74221,7251200,TRUE,TRUE,English,TRUE
wtcN,582125625,77385,73861,7438,1852272,566210,25333548,TRUE,TRUE,Turkish,TRUE
Anton,581034300,142890,137531,3199,207484,128050,6176254,TRUE,TRUE,English,TRUE
benjyfishy,580787955,34350,75491,14423,1739112,1455278,20411553,TRUE,FALSE,English,TRUE
StarLadder5,580541850,41715,189859,13089,1029203,104382,21525216,TRUE,FALSE,Russian,TRUE
Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,TRUE,TRUE,Spanish,TRUE
CasinoDaddy,577240710,267465,6524,2168,151098,42680,7493491,FALSE,TRUE,English,TRUE
H2P_Gucio,575998575,157995,10011,3581,220488,78264,13401489,TRUE,FALSE,Polish,TRUE
Xayoo_,575138175,91260,23935,6091,572789,215098,12984472,TRUE,FALSE,Polish,TRUE
Jinnytty,569601090,151815,15190,3607,372334,213291,15165872,TRUE,FALSE,English,TRUE
KendineMuzisyen,567374295,58545,43422,9583,1372290,486410,17629667,TRUE,TRUE,Turkish,TRUE
Jahrein,566176425,61890,43683,8929,1422862,247212,18410268,TRUE,FALSE,Turkish,TRUE
Mathil1,561997440,134715,25866,3953,293595,66982,13159849,TRUE,FALSE,English,TRUE
Greekgodx,561616335,89745,45741,7083,1278824,403108,12441822,TRUE,TRUE,English,TRUE
Brunenger,559915035,183225,64308,2844,659652,649562,12736000,TRUE,FALSE,Spanish,TRUE
ClassyBeef,558883590,273660,33624,1941,108623,88671,6626543,FALSE,TRUE,English,TRUE
Diegosaurs,558587535,128580,32463,4150,521201,270255,9851921,TRUE,TRUE,English,TRUE
BobRoss,558170835,238035,11659,2175,1519266,216326,7491995,TRUE,FALSE,English,TRUE
Nick28T,556741020,183660,15155,3024,977377,78054,6777975,TRUE,TRUE,English,TRUE
녹두로 (nokduro),555637890,140670,15858,4040,165823,95603,9518923,TRUE,FALSE,Korean,TRUE
GMHikaru,554249955,68355,46106,7155,505361,425023,20086431,TRUE,FALSE,English,TRUE
SkipNhO,553663800,131580,23408,3875,1076499,281967,13901197,TRUE,FALSE,Portuguese,TRUE
jovirone,553283745,96450,29272,5632,1089830,300545,17980307,TRUE,FALSE,Portuguese,TRUE
Chap,550951215,157545,22571,3430,1272899,273926,13683195,TRUE,FALSE,English,TRUE
김도 (kimdoe),549244755,134985,11759,4062,287639,10062,14188002,TRUE,TRUE,Korean,TRUE
RebirthzTV,548041425,118920,14578,4629,276694,76546,8434367,TRUE,FALSE,Thai,TRUE
Klean,545108145,169605,101124,2801,276242,154466,7844435,TRUE,FALSE,English,TRUE
接接 (godjj),544706325,126705,12461,4378,331744,19325,20264128,TRUE,FALSE,Chinese,TRUE
Gladd,543954570,171195,54477,2779,337972,157424,9290817,TRUE,FALSE,English,TRUE
CSRuHub,540556545,110880,106003,5044,511431,121099,23271913,TRUE,FALSE,Russian,TRUE
CriticalRole,539495145,21300,110800,17689,571210,237069,7827030,TRUE,FALSE,English,TRUE
Vinesauce,536989080,86790,19065,6125,442493,80616,5560969,TRUE,TRUE,English,TRUE
울프 (lol_woolf),532969650,50910,73800,9633,308528,141297,9294132,TRUE,FALSE,Korean,TRUE
Mithrain,530456265,105540,40183,4990,1258713,371005,24222810,TRUE,FALSE,Turkish,TRUE
EWROON,526660590,101235,21341,5172,514693,232079,13289271,TRUE,FALSE,Polish,TRUE
ludwig,525883695,94575,60346,5368,542580,505089,8508355,TRUE,FALSE,English,TRUE
RduLIVE,525737445,127380,11854,3953,234884,62490,7653194,TRUE,FALSE,English,TRUE
Hiko,523057245,79665,41644,5268,1001350,479830,11106951,TRUE,FALSE,English,TRUE
FENGRUSH,521568750,100605,16128,4985,95643,23288,44675247,TRUE,FALSE,English,TRUE
Chess,521511525,96315,83666,5767,326118,181232,84500786,TRUE,FALSE,English,TRUE
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,TRUE,FALSE,English,TRUE
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,TRUE,FALSE,English,TRUE
狂暴小建 (a541021),516009420,166575,8337,3105,207369,18023,18201933,TRUE,FALSE,Chinese,TRUE
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,TRUE,FALSE,English,TRUE
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,TRUE,FALSE,English,TRUE
B0aty,510323715,151215,22375,3152,516113,49577,8448691,TRUE,TRUE,English,TRUE
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,TRUE,TRUE,English,TRUE
39daph,509052375,135495,12648,3766,505362,470589,8983449,TRUE,FALSE,English,TRUE
scump,506838930,71355,79976,6789,893010,275270,8661072,TRUE,FALSE,English,TRUE
플러리 (flurry1989),505333050,128790,12084,3859,169505,51935,10969148,TRUE,FALSE,Korean,TRUE
Kyle,501208575,161295,9339,3059,182260,60506,5692219,TRUE,TRUE,English,TRUE
SummonersInnLive,499421415,64875,110095,6328,503346,46779,13724263,TRUE,FALSE,German,TRUE
Aydan,495563580,140595,51268,3507,1701314,425036,11009240,TRUE,TRUE,English,TRUE
Faker,492835710,17115,56325,29414,2716270,750480,26508938,TRUE,FALSE,Korean,TRUE
Mongraal,492733995,27060,89706,18180,2951980,1454481,19515587,TRUE,FALSE,English,TRUE
탬탬버린 (2chamcham2),490230510,95055,16243,5107,489270,144698,13076008,TRUE,FALSE,Korean,TRUE
